iteration,scenario,metric,run,score
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r3,94.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r4,92.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,GTC_P,r5,89.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r1,91.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r2,91.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r3,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r4,91.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,IC,r5,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r3,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r4,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,NR,r5,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r3,50.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r4,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,DLC,r5,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r1,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r2,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r3,66.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r4,100.0
2nd iteration,Deliver Goods / Equipment ZS-Persona-cot,RAC,r5,66.0
2nd iteration,Food Logistics FS-Persona-cot,T,r1,100.0
2nd iteration,Food Logistics FS-Persona-cot,T,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,T,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,T,r4,100.0
2nd iteration,Food Logistics FS-Persona-cot,T,r5,100.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,r1,93.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,r2,91.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,r3,90.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,r4,96.0
2nd iteration,Food Logistics FS-Persona-cot,MAI,r5,93.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,r1,85.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,r4,66.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_A,r5,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,r1,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,r4,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_Q,r5,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,r1,92.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,r4,97.0
2nd iteration,Food Logistics FS-Persona-cot,GTC_P,r5,100.0
2nd iteration,Food Logistics FS-Persona-cot,IC,r1,91.0
2nd iteration,Food Logistics FS-Persona-cot,IC,r2,91.0
2nd iteration,Food Logistics FS-Persona-cot,IC,r3,91.0
2nd iteration,Food Logistics FS-Persona-cot,IC,r4,100.0
2nd iteration,Food Logistics FS-Persona-cot,IC,r5,91.0
2nd iteration,Food Logistics FS-Persona-cot,NR,r1,100.0
2nd iteration,Food Logistics FS-Persona-cot,NR,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,NR,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,NR,r4,100.0
2nd iteration,Food Logistics FS-Persona-cot,NR,r5,100.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,r1,100.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,r4,75.0
2nd iteration,Food Logistics FS-Persona-cot,DLC,r5,50.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,r1,100.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,r2,100.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,r3,100.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,r4,100.0
2nd iteration,Food Logistics FS-Persona-cot,RAC,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,r4,100.0
2nd iteration,Food Logistics ZS-Persona-cot,T,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,r1,95.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,r2,92.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,r3,91.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,r4,75.0
2nd iteration,Food Logistics ZS-Persona-cot,MAI,r5,92.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,r4,50.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_A,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,r4,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_Q,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,r4,92.0
2nd iteration,Food Logistics ZS-Persona-cot,GTC_P,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,IC,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,IC,r2,91.0
2nd iteration,Food Logistics ZS-Persona-cot,IC,r3,91.0
2nd iteration,Food Logistics ZS-Persona-cot,IC,r4,83.0
2nd iteration,Food Logistics ZS-Persona-cot,IC,r5,91.0
2nd iteration,Food Logistics ZS-Persona-cot,NR,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,NR,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,NR,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,NR,r4,100.0
2nd iteration,Food Logistics ZS-Persona-cot,NR,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,r4,68.0
2nd iteration,Food Logistics ZS-Persona-cot,DLC,r5,100.0
2nd iteration,Food Logistics ZS-Persona-cot,RAC,r1,100.0
2nd iteration,Food Logistics ZS-Persona-cot,RAC,r2,100.0
2nd iteration,Food Logistics ZS-Persona-cot,RAC,r3,100.0
2nd iteration,Food Logistics ZS-Persona-cot,RAC,r4,100.0
2nd iteration,Food Logistics ZS-Persona-cot,RAC,r5,100.0
